"","Row.names","Location.x","MinTemp.x","MaxTemp.x","Rainfall.x","Evaporation.x","Sunshine.x","WindGustSpeed.x","WindSpeed9am.x","WindSpeed3pm.x","Humidity9am.x","Humidity3pm.x","Pressure9am.x","Pressure3pm.x","Cloud9am.x","Cloud3pm.x","Temp9am.x","Temp3pm.x","RainToday.x","RISK_MM.x","prediction1","prediction2","Date"
"1","10000","CoffsHarbour",23.5,30.8,2,7.2,6.1,41,7,13,94,74,1004.9,1004,8,2,24.2,28.1,"Yes",2.6,5.69188890112135,5.25715172007384,"2012-01-09"
"2","100006","Nuriootpa",22,41.9,0,14.8,12.7,54,9,15,19,9,1011.4,1008.6,2,3,34.4,40.4,"No",0,0.381235334518718,0.765877365834896,"2009-01-30"
"3","100012","Nuriootpa",12.6,36.1,0,10.6,12.3,30,9,15,63,26,1008,1007.5,0,0,22.2,34.7,"No",0,0,0,"2009-02-05"
"4","100015","Nuriootpa",16.9,24.6,0,18.2,5,43,13,17,70,36,1013.6,1014.3,6,7,19.4,24,"No",0,0.641101711338306,0.679349068580806,"2009-02-08"
"5","10002","CoffsHarbour",19.5,31.8,0,6.6,9.1,48,11,17,63,34,1006.7,1001.6,5,5,24.5,29.5,"No",0,2.84349912661796,2.88241528688531,"2012-01-11"
"6","100032","Nuriootpa",12.9,30,0,8.8,12.1,37,19,13,37,12,1018.2,1015.9,2,3,16.7,28.6,"No",0,0,0,"2009-02-25"
"7","100033","Nuriootpa",16.7,35,0,9.8,12.1,35,19,15,21,7,1015.6,1012.4,6,5,22.1,33.7,"No",0,0,0,"2009-02-26"
"8","100037","Nuriootpa",13.8,26.2,0.2,4.2,0.3,37,17,15,60,47,1012.5,1009.3,7,8,16.8,25.5,"No",1,4.30920326587154,4.36009026894742,"2009-03-02"
"9","100038","Nuriootpa",16.4,28,1,5,1.7,65,15,37,39,96,1003.9,1008.5,8,8,26.1,16.4,"No",12.6,7.87313889532754,7.48094497624502,"2009-03-03"
"10","100039","Nuriootpa",12.1,19.5,12.6,3.2,8.6,72,35,41,55,46,1019.5,1020.3,3,6,14.8,18.5,"Yes",0.2,2.39495327941321,1.98963350012318,"2009-03-04"
"11","10004","CoffsHarbour",15.7,25.2,0.4,8.8,9.8,31,15,20,53,56,1017.2,1014.4,6,7,21.4,24.3,"No",0,1.09393716206932,0.826692321519956,"2012-01-13"
"12","100044","Nuriootpa",13.2,27.2,0,8.2,11.6,35,17,13,56,23,1019.1,1016.8,1,2,16.6,26.4,"No",0,0,0,"2009-03-09"
"13","10005","CoffsHarbour",17.8,26.7,0,7,4.2,41,22,26,52,68,1014.9,1014,5,7,24.6,23.2,"No",0,3.81839038819693,3.5969429408494,"2012-01-14"
"14","100054","Nuriootpa",11.7,27.8,0,6,11.3,44,7,22,39,46,1013.6,1013.4,0,3,21.4,25.3,"No",0,0.860754991781649,0.859261313843539,"2009-03-19"
"15","100057","Nuriootpa",10.8,23.4,0,9,11,41,15,6,64,30,1016.7,1014.7,2,3,15.3,23.3,"No",0,0,0.105984773877151,"2009-03-22"
"16","100070","Nuriootpa",10.1,20.2,0,6.4,3.5,31,6,11,61,38,1026.7,1024.8,2,7,13.4,18.4,"No",0.4,0.576675182644279,0.742654463173316,"2009-04-04"
"17","100075","Nuriootpa",9.6,23.4,0,4,10.2,35,13,9,70,27,1023,1018.6,0,4,14.8,22.9,"No",0,0,0,"2009-04-09"
"18","100076","Nuriootpa",3.6,23.3,0,4,10.2,30,2,19,63,25,1021.5,1019.6,5,6,15.5,22.5,"No",0,0,0,"2009-04-10"
"19","100077","Nuriootpa",7.1,25.8,0,5,10,26,13,9,61,15,1023.7,1020.5,3,2,16.7,25.3,"No",0,0,0,"2009-04-11"
"20","100078","Nuriootpa",7.9,28.2,0,5.6,10.7,30,15,7,46,12,1022.9,1019.3,4,5,18.6,27.2,"No",0,0,0,"2009-04-12"
"21","100088","Nuriootpa",9.5,25.3,0,5.8,10.4,37,15,17,34,19,1020.5,1016.9,1,2,19.3,24.8,"No",0,0,0,"2009-04-22"
"22","100091","Nuriootpa",12,17.3,11.4,0.8,3,72,30,37,90,91,1004.2,1000.2,8,8,14.2,12.4,"Yes",11,10.9364036950475,10.2737046141332,"2009-04-25"
"23","100093","Nuriootpa",9,16.7,11.2,1.8,5.1,63,31,33,97,63,1013.1,1013.1,8,6,13.7,16.2,"Yes",5.6,4.70099973120896,4.18917611110831,"2009-04-27"
"24","100094","Nuriootpa",7.9,14.8,5.6,1.6,5.7,22,13,9,82,64,1023.1,1021.2,5,7,11.6,14,"Yes",0.2,2.03146112082033,1.69086824605683,"2009-04-28"
"25","100104","Nuriootpa",9.9,15.9,0,1,3.9,24,13,9,87,62,1032.6,1029.9,7,5,12,15.3,"No",0,1.02748987215273,0.926394487326139,"2009-05-08"
"26","100108","Nuriootpa",5.9,17.3,0,2.4,8.1,31,2,13,83,50,1024.9,1022,2,6,11.5,16,"No",0.8,0.517607596556619,0.480114094575283,"2009-05-12"
"27","100110","Nuriootpa",6.5,15.5,0.6,1.2,5.5,50,20,20,92,79,1019.2,1017.2,7,7,12.4,14.6,"No",1.4,4.97374515295416,4.57722862328449,"2009-05-14"
"28","10012","CoffsHarbour",19.9,27.2,0,5.2,7.4,33,20,17,72,65,1013.7,1012.9,7,7,23.9,25.9,"No",0,2.04912906368537,1.82236800379516,"2012-01-21"
"29","100125","Nuriootpa",1.7,12.2,0,1.8,0.8,33,15,15,90,59,1028.9,1026.8,7,7,8.5,11.9,"No",0,2.32365717623137,2.15703239377379,"2009-05-29"
"30","10013","CoffsHarbour",19.7,26.4,0,5,5.4,50,28,31,66,72,1016.3,1015.8,7,7,23,25.5,"No",28,3.6472947440486,3.24876754895338,"2012-01-22"
"31","100135","Nuriootpa",7.9,12.8,8,1,5,48,17,30,97,62,1013.5,1013.5,8,7,8.8,11.5,"Yes",20,2.71935741155343,2.15830648521388,"2009-06-08"
"32","100141","Nuriootpa",7.1,11.2,1,2.2,2,43,20,11,77,95,1004.7,1003.5,6,8,10.3,9.7,"No",3,8.03511309510919,7.66443863622582,"2009-06-14"
"33","100147","Nuriootpa",9.4,13.6,0,2.4,3.1,50,15,26,56,56,1015.6,1012.8,7,6,11,13.1,"No",0.6,3.23344186136601,2.96893576038177,"2009-06-20"
"34","10015","CoffsHarbour",20.6,25.8,12,3,0.1,43,7,20,90,80,1014.8,1013.6,8,8,23.3,23,"Yes",31.6,7.75197647581126,7.45320967819333,"2012-01-24"
"35","100153","Nuriootpa",9.1,11.6,4.8,1,0.1,24,11,7,99,96,1003.7,1002.6,8,8,9.5,11.3,"Yes",4,7.5045605351734,6.95891608160357,"2009-06-26"
"36","100162","Nuriootpa",4.8,11.8,0,1.4,0.6,24,4,13,99,80,1024.9,1023,7,7,7.4,10.3,"No",0,3.75469683055434,3.49589854788679,"2009-07-05"
"37","100165","Nuriootpa",2.8,12.4,0,0.6,8.3,28,9,15,83,55,1025.3,1023.5,5,1,5,11.9,"No",0,0,0,"2009-07-08"
"38","100170","Nuriootpa",8.5,11.8,2,1.8,5.1,61,31,31,92,84,1008.7,1007.5,8,8,8.7,9.4,"Yes",9,6.16460775660889,5.29359390630827,"2009-07-13"
"39","100171","Nuriootpa",5.6,10.1,9,2.6,1.7,46,22,19,91,82,1004.5,1002.6,8,7,8,9.5,"Yes",2.6,7.7712506806702,7.2053853092189,"2009-07-14"
"40","100174","Nuriootpa",3.9,13.8,0,1.2,6.2,33,9,9,90,67,1022.1,1018.7,7,7,7.1,12.8,"No",0,3.10679206230932,2.83017193522581,"2009-07-17"
"41","100177","Nuriootpa",7.9,18.8,0,2.4,9.2,57,30,26,35,28,1014.1,1011.5,5,3,14.3,18.5,"No",0,0.194153965342193,0.0706820793854927,"2009-07-20"
"42","10019","CoffsHarbour",20.4,25,11,2,0,28,17,13,90,76,1014.2,1012,8,8,21.5,24,"Yes",6.2,6.59416685737457,6.34436308787762,"2012-01-28"
"43","100191","Nuriootpa",2.3,14.5,1.2,6.8,6.9,37,6,11,87,58,1026.6,1023,6,6,7.2,14,"Yes",0,2.94402384478023,2.42306246323605,"2009-08-03"
"44","10020","CoffsHarbour",19.9,26.1,6.2,2.2,1.1,43,4,19,96,74,1011.3,1009.2,7,7,21.4,25.2,"Yes",3.8,6.96029951827391,6.5942724205857,"2012-01-29"
"45","100200","Nuriootpa",8.6,14.9,0.6,1.2,4.3,26,13,13,99,74,1015.9,1014,8,6,9.8,13.6,"No",0.2,2.90684976095412,2.64171360986672,"2009-08-12"
"46","100207","Nuriootpa",7.7,17.8,0,2.6,5.1,33,7,13,67,58,1021.5,1017,7,6,11.9,16.4,"No",0.4,3.04180093250204,2.88371491918454,"2009-08-19"
"47","100215","Nuriootpa",5.3,16.3,0.2,2.6,10.4,50,20,24,67,58,1015.1,1013.4,3,3,10.9,15.5,"No",0,1.91605810826242,1.61362268299328,"2009-08-27"
"48","100221","Nuriootpa",6.4,20,0,1.8,5.7,43,15,17,53,80,1016.3,1012.1,0,8,15.1,12.7,"No",1.4,6.92876583309214,6.77186079271371,"2009-09-02"
"49","100229","Nuriootpa",1.9,20.4,0,1.4,10.3,28,15,15,63,34,1018.8,1014.9,1,1,12.1,19.1,"No",0,0,0,"2009-09-10"
"50","100235","Nuriootpa",11.8,25.1,0,4,3,57,9,7,44,49,1016.6,1011.5,7,8,14.8,19.9,"No",7.8,6.91169831324534,6.93541619713352,"2009-09-16"
"51","10024","CoffsHarbour",19.6,26.7,19.2,1.6,9.8,35,9,22,86,65,1007.5,1005.9,5,3,22.8,25.7,"Yes",0.8,4.25787534204009,4.07460167273175,"2012-02-02"
"52","100243","Nuriootpa",8.6,19,0.4,4,9.2,48,28,30,87,45,1015.9,1011.6,7,6,11.9,18.7,"No",6,0.993783371775502,0.686865015132701,"2009-09-24"
"53","100255","Nuriootpa",2.5,16.1,3,11,6.8,39,7,15,87,46,1028.2,1025,7,6,7,15.4,"Yes",0.2,1.88865044422683,1.42223200487649,"2009-10-06"
"54","100257","Nuriootpa",4.7,15.1,0,2.2,11.7,41,17,20,66,44,1030.2,1028.1,3,6,9.4,14.3,"No",0,0,0,"2009-10-08"
"55","100262","Nuriootpa",8.4,13.6,15,3,6.4,74,41,39,75,87,1001.1,1002.4,7,8,10.7,11.7,"Yes",7,8.23217616877341,7.47358712493252,"2009-10-13"
"56","100270","Nuriootpa",11,20,0,8,12,37,22,15,75,47,1022.2,1021.2,6,5,12.6,19,"No",0,0,0,"2009-10-21"
"57","100271","Nuriootpa",9,25.3,0,5,12.1,35,17,15,64,36,1022.5,1020.5,6,2,13.4,24.2,"No",0,0,0,"2009-10-22"
"58","100282","Nuriootpa",19.1,36.7,0,25.8,6.1,69,24,31,31,12,1015.7,1010.6,6,7,29.4,36,"No",0,3.25736918980762,3.38099091958701,"2009-11-02"
"59","100291","Nuriootpa",18.5,38.4,0,12,12.9,39,9,17,31,12,1021.2,1018.8,3,5,31.7,37.3,"No",0,0,0,"2009-11-11"
"60","100292","Nuriootpa",18.4,38.3,0,11.2,12.5,46,15,20,26,9,1021.6,1018.7,3,5,31.3,38,"No",0,0,0,"2009-11-12"
"61","10030","CoffsHarbour",20,27.1,12.8,6.2,6.5,41,20,24,88,75,1008,1007.3,7,7,21.1,25.1,"Yes",14.4,5.71888476239323,5.28705938863453,"2012-02-08"
"62","10031","CoffsHarbour",20.1,26.6,14.4,5.2,9.3,35,22,22,75,65,1011.6,1010.9,2,6,23.1,24.7,"Yes",0.2,3.5474705462508,3.31811059297172,"2012-02-09"
"63","100311","Nuriootpa",10.8,25.7,0.2,6.2,11.7,26,15,6,53,25,1020,1017.8,0,2,17,25,"No",0,0,0,"2009-12-01"
"64","100312","Nuriootpa",9.1,31.3,0,6.8,13.1,35,19,13,19,11,1018.2,1015.2,3,4,24,29.5,"No",0,0,0,"2009-12-02"
"65","100318","Nuriootpa",13.9,18.8,12,9,10,46,13,24,97,46,1012.1,1012.7,8,6,14.1,18.2,"Yes",0.2,0.692859125940205,0.335594453494583,"2009-12-08"
"66","10032","CoffsHarbour",18,26,0.2,7,9.2,30,4,20,69,63,1012.6,1010.7,2,5,23.1,24.2,"No",3.8,1.78520134648246,1.6510708180414,"2012-02-10"
"67","100324","Nuriootpa",12.6,29.3,0,17.4,10.9,41,17,11,62,29,1021.7,1018.6,0,2,18.3,27.8,"No",0,0.700320643028952,0.886467131297853,"2009-12-14"
"68","100331","Nuriootpa",10.5,36.1,0,9.4,10.7,31,13,11,24,13,1012.3,1009.7,4,6,23.7,34,"No",0,0,0,"2009-12-22"
"69","100332","Nuriootpa",19.3,38.9,0,11,6.4,54,13,19,11,8,1008.4,1004.1,6,7,33.3,37.9,"No",0,2.12467990585678,2.46281259268301,"2009-12-23"
"70","100352","Nuriootpa",22.6,22.6,0,18.6,0.6,39,22,11,92,98,1008.4,1010.4,8,8,22.6,18.2,"No",9.2,7.22261034295927,6.98848882429017,"2010-01-12"
"71","10036","CoffsHarbour",17.8,25.8,0.2,5.6,11.9,35,24,24,72,60,1019.5,1018,3,2,22.6,25.2,"No",0.4,0.00596270961421914,0,"2012-02-14"
"72","100361","Nuriootpa",18.2,39.8,0,11.4,11.7,48,9,24,37,5,1009.8,1005.7,6,5,26.5,37.4,"No",0,0,0,"2010-01-21"
"73","100364","Nuriootpa",10.6,31.1,0,7.2,13.2,33,9,11,62,17,1015.7,1012.4,3,5,18.1,29.5,"No",0,0,0,"2010-01-24"
"74","100368","Nuriootpa",17,32.4,0,8,11.7,31,11,17,42,27,1010.6,1008.6,7,7,20.8,31.1,"No",0,0,0,"2010-01-28"
"75","100369","Nuriootpa",12.2,28.3,0,9.2,12.8,44,26,13,62,25,1016.1,1013.9,1,0,15,26.4,"No",0,0,0,"2010-01-29"
"76","100375","Nuriootpa",19.5,27.5,1,5.8,3.6,46,11,9,86,58,1008.6,1007.6,7,7,20.6,26.2,"No",2,4.79941771758365,4.84527350991561,"2010-02-04"
"77","100380","Nuriootpa",22.4,38.2,0,12,12.8,44,9,20,39,19,1018.1,1016.5,5,6,30.6,36.3,"No",0,0,0,"2010-02-09"
"78","100382","Nuriootpa",22.9,30.9,0,9.6,6.2,41,4,26,49,53,1013.6,1013.1,7,7,26.5,26.5,"No",0,1.73555720100076,1.68326828283305,"2010-02-11"
"79","100383","Nuriootpa",13.1,27.2,0,8,9.9,30,11,9,72,39,1014.3,1011.6,7,6,18,26.2,"No",0,0.335196987849228,0.329207936534096,"2010-02-12"
"80","100384","Nuriootpa",15.7,29.9,0,4.4,9.1,43,15,9,67,31,1010.4,1007.5,6,7,19.3,28.2,"No",0,1.40439111505541,1.51055217001235,"2010-02-13"
"81","100386","Nuriootpa",15.6,27.4,0,8,11.7,35,20,24,70,33,1015.7,1014,6,4,18.2,26.2,"No",0,0,0,"2010-02-15"
"82","100387","Nuriootpa",13.6,33,0,6.8,12.4,48,9,9,49,26,1016.1,1014.1,0,5,23.4,30.6,"No",0,0.740018984746571,0.990774379514394,"2010-02-16"
"83","100391","Nuriootpa",17.4,36.9,0,9.6,6.7,52,11,28,25,14,1012.9,1010.2,7,7,29,36.4,"No",0,0.665407215631565,0.814298277846808,"2010-02-20"
"84","100394","Nuriootpa",10.9,24.4,0,6,12.2,37,17,15,50,17,1022.6,1020.2,3,1,14.4,22.3,"No",0,0,0,"2010-02-23"
"85","10040","CoffsHarbour",16.7,27.4,0,5,10.3,30,6,17,68,57,1017.5,1015.3,1,1,23.8,26.6,"No",0,1.01654095024179,0.975814507314787,"2012-02-18"
"86","100400","Nuriootpa",10,23,0,8.6,11.2,56,26,31,66,23,1022.8,1018.8,2,1,12.1,21.2,"No",0,0,0,"2010-03-01"
"87","100404","Nuriootpa",16,25.9,0,10.6,11.2,46,7,28,75,41,1006.9,1005.6,0,3,19.3,25.1,"No",0,0.364053043148347,0.35137318813651,"2010-03-05"
"88","100406","Nuriootpa",10.8,21.5,1.6,4.4,4.5,50,15,15,87,54,1008.7,1006.8,7,7,13,18.3,"Yes",4.8,4.79990124939124,4.41045896826998,"2010-03-07"
"89","10041","CoffsHarbour",17.2,27.2,0,7,10.1,22,7,15,77,71,1017.6,1015,7,2,22.3,25.9,"No",0,1.7208799869825,1.44960195606973,"2012-02-19"
"90","100410","Nuriootpa",9.2,21.2,0,5.4,11.5,39,15,20,100,28,1033.6,1030.8,2,5,12.9,19.8,"No",0,0,0,"2010-03-11"
"91","100412","Nuriootpa",14.6,29.2,0,8.2,11.1,37,15,20,46,27,1030.1,1026.7,3,6,19.6,28,"No",0,0,0,"2010-03-13"
"92","100424","Nuriootpa",8.7,32.5,0,4.6,10.6,37,9,20,41,8,1019.9,1017,3,4,19,31.5,"No",0,0,0,"2010-03-25"
"93","100429","Nuriootpa",12,22,0,4.4,10.9,35,13,17,77,37,1024.1,1022.1,2,2,14.4,21,"No",0,0,0,"2010-03-30"
"94","10043","CoffsHarbour",21,27.6,40.4,9.4,6,50,15,30,85,84,1006.9,1007.8,7,7,22.3,23.4,"Yes",0.4,9.97441805841135,9.9488960418218,"2012-02-21"
"95","100432","Nuriootpa",12.4,23.9,0,4.4,10.6,39,19,15,69,38,1022.7,1019.9,3,2,14.6,22.8,"No",0,0,0,"2010-04-02"
"96","100443","Nuriootpa",7.7,18.7,0,4.2,10.4,33,13,7,59,44,1028.1,1024.8,3,5,12.8,18.2,"No",0,0,0,"2010-04-13"
"97","100455","Nuriootpa",9.6,19.1,1.8,2.8,9.9,31,9,15,83,55,1022,1022,3,5,13.8,17.5,"Yes",0,0,0,"2010-04-25"
"98","100460","Nuriootpa",6.7,19.2,0,2.8,7.8,22,15,11,81,56,1028.8,1024.9,6,2,12.1,18.6,"No",0,0.540610583608875,0.420250739021347,"2010-04-30"
"99","100461","Nuriootpa",7.6,23.4,0,0.6,10,41,9,19,64,37,1024.5,1021.9,0,2,16.5,22.9,"No",0,0,0,"2010-05-01"
"100","100470","Nuriootpa",6,21.9,0,3.4,10.2,50,9,26,50,20,1015.7,1011.7,2,2,15.2,21.4,"No",0.8,0,0,"2010-05-10"
"101","100474","Nuriootpa",-1.1,18.4,0,2,9,44,7,9,49,20,1022,1017.5,3,1,11.1,17.9,"No",0,0.347893794501131,0.475707175440608,"2010-05-14"
"102","100492","Nuriootpa",4.9,14.5,0,2.4,3.1,17,4,15,96,80,1019.9,1017.6,7,7,9.2,13.2,"No",0,3.10896954818329,2.80750409330193,"2010-06-01"
"103","100496","Nuriootpa",4.3,15,0.2,1.4,4.5,30,7,13,99,74,1023.9,1023.1,8,6,10.1,13.3,"No",2.2,2.57692263073809,2.28600446773609,"2010-06-05"
"104","100499","Nuriootpa",-0.5,13.8,0,1.4,7.4,76,7,20,84,55,1023,1018.1,3,6,6.8,11.8,"No",4.8,6.02895840710197,5.76347268873259,"2010-06-08"
"105","10050","CoffsHarbour",21.4,30.2,0,2.6,11,56,19,37,70,64,1016.6,1013.3,6,5,25.8,27.3,"No",0,2.68152828971348,2.29034924481438,"2012-02-28"
"106","100510","Nuriootpa",10.1,15.5,2,0.6,2.6,48,26,19,100,88,1023.4,1023.3,8,7,12.2,14.3,"Yes",4.4,5.61259395630911,4.93159358325895,"2010-06-19"
"107","100513","Nuriootpa",6.5,15.5,0,0.8,1.6,24,9,11,82,69,1035.2,1032.1,7,5,11,14,"No",0,2.55650228780521,2.42089453422836,"2010-06-22"
"108","100514","Nuriootpa",5.1,15.2,0,1.4,8.8,26,6,15,71,62,1030.7,1026.7,3,2,9.7,13.4,"No",0,0.763221892137214,0.589592248875243,"2010-06-23"
"109","100517","Nuriootpa",1.1,11.8,1,0.6,7.6,30,2,19,91,54,1027.8,1026.1,1,3,6.4,11.6,"No",0.2,0,0,"2010-06-26"
"110","100519","Nuriootpa",-0.3,12.4,0,0.8,8,44,20,26,66,50,1019.7,1016.3,1,6,7.8,11.4,"No",0.2,1.41770164207384,1.18809782873478,"2010-06-28"
"111","100525","Nuriootpa",0.2,13.1,0,1.4,1.6,26,7,9,82,48,1031.7,1026.8,1,3,6.2,11.1,"No",0.2,2.29474186965308,2.42081956647098,"2010-07-04"
"112","100534","Nuriootpa",7.5,17,0,1.6,6.6,72,15,41,73,56,1006.4,1002.2,4,6,12.4,14.3,"No",15,5.0629545262474,4.7015792838284,"2010-07-13"
"113","100535","Nuriootpa",6.4,12.6,15,3.2,2.1,67,30,39,96,84,1011.9,1013.8,8,6,9,12.6,"Yes",7.6,7.34735219888485,6.68266398665378,"2010-07-14"
"114","100537","Nuriootpa",4.7,12.7,0.6,0.2,0,20,7,13,88,68,1028.4,1026.5,7,7,9.2,12.4,"No",0,2.20653588484983,2.06282458108588,"2010-07-16"
"115","100539","Nuriootpa",2.9,10.2,0,1.6,0,35,22,15,69,95,1019.3,1017,8,8,10.1,9.2,"No",2.4,6.96386387517475,6.51565267870603,"2010-07-18"
"116","10054","CoffsHarbour",19,22.8,20.8,4.8,0.9,39,13,9,96,92,1019,1017,8,8,19.3,21,"Yes",4.4,10.0043358579269,9.78800235907926,"2012-03-03"
"117","100542","Nuriootpa",-0.1,13.4,0.4,3.2,7.1,22,6,17,93,73,1032.6,1031.1,2,6,4.4,12.1,"No",0,1.10317700775449,0.802183385855858,"2010-07-21"
"118","100549","Nuriootpa",3.1,16.2,0,1,8.3,20,11,9,72,57,1022.5,1017.4,1,6,8.7,14.3,"No",6.4,1.65583996740957,1.58953003364485,"2010-07-28"
"119","100570","Nuriootpa",7.4,18.2,2.4,3,6,70,17,35,85,49,1001,999.1,8,5,10.4,17.8,"Yes",0.6,4.73114395294475,4.09591832203355,"2010-08-18"
"120","100575","Nuriootpa",6.2,13.7,2.2,3.2,4.5,57,20,28,93,83,1013.9,1012,8,6,9.2,10.8,"Yes",0.4,6.50478243006088,5.71351208909583,"2010-08-23"
"121","100576","Nuriootpa",6,12.5,0.4,3,3.9,69,41,33,75,70,1013.1,1011.2,6,7,9.6,10.5,"No",4.4,5.67526204973316,5.20849907150175,"2010-08-24"
"122","100583","Nuriootpa",6.3,17.6,0.2,3.6,4.6,31,9,7,60,44,1019,1014.3,7,7,11.9,17.1,"No",0.6,2.4007804958767,2.37949246835961,"2010-08-31"
"123","100584","Nuriootpa",9.7,13.5,0.6,0.4,0,33,7,17,95,86,1016.3,1014.7,8,8,11,12.3,"No",0.6,5.37179315765158,5.06854199225262,"2010-09-01"
"124","100596","Nuriootpa",5,18.1,0.2,1.2,7.6,41,11,17,80,42,1016.1,1013.2,5,7,14,17,"No",20,1.03296127279753,0.957967621059512,"2010-09-13"
"125","100604","Nuriootpa",7.9,13.8,0.6,0.2,2.6,30,15,17,89,83,1030.7,1028.5,8,7,10.2,12.8,"No",0,3.4473046276256,3.09365857786586,"2010-09-21"
"126","100610","Nuriootpa",6.9,15.3,0,2.6,2.6,44,17,24,85,73,1017.3,1016.6,7,7,12.1,13.4,"No",0.4,3.9665327976442,3.63831098584875,"2010-09-27"
"127","100614","Nuriootpa",5.9,19.8,0,2.4,10.4,31,17,15,42,22,1023.9,1021.7,2,3,14.6,18.9,"No",0,0,0,"2010-10-01"
"128","100619","Nuriootpa",8.8,20.5,0,4,9.3,57,4,37,66,75,1017,1018.6,4,8,15.3,14.7,"No",0,2.6525888967026,2.18106892013546,"2010-10-06"
"129","10062","CoffsHarbour",19.6,25.3,10.2,6,6.4,28,11,15,92,60,1017.9,1016.6,6,5,20.6,25,"Yes",0,2.61601082525423,2.36554662083085,"2012-03-11"
"130","100621","Nuriootpa",3,16.2,0,4,2.4,26,11,9,63,58,1029.9,1027.6,8,7,11.3,14.9,"No",0,2.17698446706506,2.04035628576204,"2010-10-08"
"131","100622","Nuriootpa",7.4,19.1,0,2.2,11.7,35,17,17,81,43,1027.8,1024.7,4,1,10.7,18.1,"No",0,0,0,"2010-10-09"
"132","100623","Nuriootpa",8.7,23.1,0,3.8,11.8,37,17,20,60,28,1025.8,1022.4,0,0,14.1,22.1,"No",0,0,0,"2010-10-10"
"133","100625","Nuriootpa",16.6,21.8,0,8.4,0.6,31,7,19,59,71,1021,1020.2,8,8,18.6,18.2,"No",7.2,3.6286958106782,3.48290546222987,"2010-10-12"
"134","100627","Nuriootpa",7.2,21.9,0,1.6,5.3,46,7,19,87,41,1010.9,1004.7,7,8,13.8,21.2,"No",5.6,3.78539232738566,3.71088900126093,"2010-10-14"
"135","100633","Nuriootpa",5.5,23.2,0,4,11.8,30,15,13,62,30,1027.6,1023.1,2,4,14.8,22.4,"No",0,0,0,"2010-10-20"
"136","100634","Nuriootpa",8.1,25.8,0,4.4,12.3,50,11,15,41,22,1020.9,1017.7,0,2,19.8,25.2,"No",0,0,0,"2010-10-21"
"137","100642","Nuriootpa",15.1,23.2,0,8.4,0.6,41,17,6,40,91,1007.6,1006.5,8,8,20.4,16.7,"No",12,9.08249516455181,8.89917449537236,"2010-10-29"
"138","100643","Nuriootpa",8,16,12,3.2,1.8,52,7,30,93,66,1011.6,1010.6,8,7,11.8,14.2,"Yes",0.2,5.94341537586401,5.5293364447592,"2010-10-30"
"139","100650","Nuriootpa",7.3,26.3,0,6.8,10.7,43,22,15,31,18,1015.8,1012.9,4,6,19.2,24.5,"No",0,0,0,"2010-11-06"
"140","100652","Nuriootpa",9.5,23.6,0,5.4,12.2,50,15,17,67,35,1015.6,1015.3,6,2,15.1,22.7,"No",0,0,0,"2010-11-08"
"141","100656","Nuriootpa",21.5,23.1,0,6.4,1.3,46,28,19,47,94,1006.6,1008.1,7,8,23.1,16.5,"No",7,7.08677272730468,6.82796925391472,"2010-11-12"
"142","100659","Nuriootpa",10.6,20.2,0.2,4.2,7.9,35,17,7,57,45,1017.5,1015.4,6,7,14.3,18.9,"No",0,1.06645878719619,1.02233253307365,"2010-11-15"
"143","100669","Nuriootpa",16.2,24.2,12,1.8,5.5,28,9,13,82,55,1018.7,1017.1,8,6,17.9,23.7,"Yes",0,2.67195771969179,2.52303330022713,"2010-11-25"
